"antecedent";"";"consequent";"support";"confidence";"lift";"count"
"192";"=>";"328";0,142857142857143;1;7;2
"328";"=>";"192";0,142857142857143;1;7;2
"192";"=>";"25";0,142857142857143;1;4,66666666666667;2
"328";"=>";"25";0,142857142857143;1;4,66666666666667;2
"3345";"=>";"3180";0,142857142857143;1;4,66666666666667;2
"3345";"=>";"931";0,142857142857143;1;4,66666666666667;2
"3345";"=>";"497";0,142857142857143;1;4,66666666666667;2
"402";"=>";"3146";0,142857142857143;1;2,8;2
"3180";"=>";"931";0,214285714285714;1;4,66666666666667;3
"931";"=>";"3180";0,214285714285714;1;4,66666666666667;3
"192, 328";"=>";"25";0,142857142857143;1;4,66666666666667;2
"25, 192";"=>";"328";0,142857142857143;1;7;2
"25, 328";"=>";"192";0,142857142857143;1;7;2
"3180, 3345";"=>";"931";0,142857142857143;1;4,66666666666667;2
"931, 3345";"=>";"3180";0,142857142857143;1;4,66666666666667;2
"3180, 3345";"=>";"497";0,142857142857143;1;4,66666666666667;2
"497, 3345";"=>";"3180";0,142857142857143;1;4,66666666666667;2
"497, 3180";"=>";"3345";0,142857142857143;1;7;2
"931, 3345";"=>";"497";0,142857142857143;1;4,66666666666667;2
"497, 3345";"=>";"931";0,142857142857143;1;4,66666666666667;2
"497, 931";"=>";"3345";0,142857142857143;1;7;2
"497, 3180";"=>";"931";0,142857142857143;1;4,66666666666667;2
"497, 931";"=>";"3180";0,142857142857143;1;4,66666666666667;2
"3146, 3180";"=>";"931";0,142857142857143;1;4,66666666666667;2
"931, 3146";"=>";"3180";0,142857142857143;1;4,66666666666667;2
"931, 3180, 3345";"=>";"497";0,142857142857143;1;4,66666666666667;2
"497, 3180, 3345";"=>";"931";0,142857142857143;1;4,66666666666667;2
"497, 931, 3345";"=>";"3180";0,142857142857143;1;4,66666666666667;2
"497, 931, 3180";"=>";"3345";0,142857142857143;1;7;2
